[2026-05-17 17:47:16] PRICE=0.00053900 | MC=539030 | LIQ=59485 | B1h=3865 S1h=952 | B6h=8995 S6h=1649
[2026-05-17 17:47:21] PRICE=0.00053600 | MC=536049 | LIQ=59322 | B1h=3829 S1h=956 | B6h=9039 S6h=1662
[2026-05-17 17:47:26] PRICE=0.00053600 | MC=536049 | LIQ=59322 | B1h=3829 S1h=956 | B6h=9039 S6h=1662
[2026-05-17 17:47:31] PRICE=0.00053600 | MC=536049 | LIQ=59322 | B1h=3829 S1h=956 | B6h=9039 S6h=1662
[2026-05-17 17:47:37] PRICE=0.00053600 | MC=536049 | LIQ=59322 | B1h=3829 S1h=956 | B6h=9039 S6h=1662
[2026-05-17 17:47:42] PRICE=0.00053600 | MC=536049 | LIQ=59322 | B1h=3829 S1h=956 | B6h=9039 S6h=1662
[2026-05-17 17:47:47] PRICE=0.00053600 | MC=536049 | LIQ=59322 | B1h=3829 S1h=956 | B6h=9039 S6h=1662
[2026-05-17 17:47:52] PRICE=0.00053280 | MC=532831 | LIQ=59154 | B1h=3862 S1h=965 | B6h=9072 S6h=1671
[2026-05-17 17:47:57] PRICE=0.00053280 | MC=532831 | LIQ=59154 | B1h=3862 S1h=965 | B6h=9072 S6h=1671
[2026-05-17 17:48:02] PRICE=0.00053280 | MC=532831 | LIQ=59154 | B1h=3862 S1h=965 | B6h=9072 S6h=1671
[2026-05-17 17:48:07] PRICE=0.00053280 | MC=532831 | LIQ=59154 | B1h=3862 S1h=965 | B6h=9072 S6h=1671
[2026-05-17 17:48:13] PRICE=0.00053280 | MC=532831 | LIQ=59154 | B1h=3862 S1h=965 | B6h=9072 S6h=1671
[2026-05-17 17:48:18] PRICE=0.00053280 | MC=532831 | LIQ=59154 | B1h=3862 S1h=965 | B6h=9072 S6h=1671
[2026-05-17 17:48:23] PRICE=0.00053140 | MC=531474 | LIQ=59076 | B1h=3812 S1h=965 | B6h=9117 S6h=1680
[2026-05-17 17:48:28] PRICE=0.00053140 | MC=531474 | LIQ=59076 | B1h=3812 S1h=965 | B6h=9117 S6h=1680
[2026-05-17 17:48:33] PRICE=0.00053140 | MC=531474 | LIQ=59076 | B1h=3812 S1h=965 | B6h=9117 S6h=1680
[2026-05-17 17:48:38] PRICE=0.00053140 | MC=531474 | LIQ=59076 | B1h=3812 S1h=965 | B6h=9117 S6h=1680
[2026-05-17 17:48:44] PRICE=0.00053140 | MC=531474 | LIQ=59076 | B1h=3812 S1h=965 | B6h=9117 S6h=1680
[2026-05-17 17:48:49] PRICE=0.00053140 | MC=531474 | LIQ=59076 | B1h=3812 S1h=965 | B6h=9117 S6h=1680
[2026-05-17 17:48:54] PRICE=0.00050410 | MC=504138 | LIQ=57528 | B1h=3847 S1h=980 | B6h=9152 S6h=1695
[2026-05-17 17:48:59] PRICE=0.00050410 | MC=504138 | LIQ=57528 | B1h=3847 S1h=980 | B6h=9152 S6h=1695
[2026-05-17 17:49:04] PRICE=0.00050410 | MC=504138 | LIQ=57528 | B1h=3847 S1h=980 | B6h=9152 S6h=1695
[2026-05-17 17:49:10] PRICE=0.00050410 | MC=504138 | LIQ=57528 | B1h=3847 S1h=980 | B6h=9152 S6h=1695
[2026-05-17 17:49:15] PRICE=0.00050410 | MC=504138 | LIQ=57528 | B1h=3847 S1h=980 | B6h=9152 S6h=1695
[2026-05-17 17:49:20] PRICE=0.00050410 | MC=504138 | LIQ=57528 | B1h=3847 S1h=980 | B6h=9152 S6h=1695
[2026-05-17 17:49:25] PRICE=0.00050850 | MC=508516 | LIQ=57785 | B1h=3802 S1h=983 | B6h=9192 S6h=1708
[2026-05-17 17:49:30] PRICE=0.00050850 | MC=508516 | LIQ=57785 | B1h=3802 S1h=983 | B6h=9192 S6h=1708
[2026-05-17 17:49:35] PRICE=0.00050850 | MC=508516 | LIQ=57785 | B1h=3802 S1h=983 | B6h=9192 S6h=1708
[2026-05-17 17:49:41] PRICE=0.00050850 | MC=508516 | LIQ=57785 | B1h=3802 S1h=983 | B6h=9192 S6h=1708
[2026-05-17 17:49:46] PRICE=0.00050850 | MC=508516 | LIQ=57785 | B1h=3802 S1h=983 | B6h=9192 S6h=1708
