[2026-05-19 18:35:08] PRICE=0.00070400 | MC=704047 | LIQ=70202 | B1h=15 S1h=4 | B6h=15 S6h=4
[2026-05-19 18:35:14] PRICE=0.00070400 | MC=704047 | LIQ=70202 | B1h=15 S1h=4 | B6h=15 S6h=4
[2026-05-19 18:35:19] PRICE=0.00070400 | MC=704047 | LIQ=70202 | B1h=15 S1h=4 | B6h=15 S6h=4
[2026-05-19 18:35:24] PRICE=0.00070400 | MC=704047 | LIQ=70202 | B1h=15 S1h=4 | B6h=15 S6h=4
[2026-05-19 18:35:29] PRICE=0.00070400 | MC=704047 | LIQ=70202 | B1h=15 S1h=4 | B6h=15 S6h=4
[2026-05-19 18:35:34] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:35:40] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:35:45] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:35:50] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:35:55] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:00] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:05] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:11] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:16] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:21] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:26] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:31] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:37] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:42] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:47] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:52] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:36:57] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:37:03] PRICE=0.00070400 | MC=704071 | LIQ=70203 | B1h=16 S1h=7 | B6h=16 S6h=7
[2026-05-19 18:37:08] PRICE=0.00070440 | MC=704489 | LIQ=70224 | B1h=17 S1h=8 | B6h=17 S6h=8
[2026-05-19 18:37:13] PRICE=0.00070440 | MC=704489 | LIQ=70224 | B1h=17 S1h=8 | B6h=17 S6h=8
[2026-05-19 18:37:18] PRICE=0.00070440 | MC=704489 | LIQ=70224 | B1h=17 S1h=8 | B6h=17 S6h=8
[2026-05-19 18:37:23] PRICE=0.00070440 | MC=704489 | LIQ=70224 | B1h=17 S1h=8 | B6h=17 S6h=8
[2026-05-19 18:37:28] PRICE=0.00070440 | MC=704489 | LIQ=70224 | B1h=17 S1h=8 | B6h=17 S6h=8
[2026-05-19 18:37:34] PRICE=0.00070390 | MC=703924 | LIQ=70195 | B1h=17 S1h=10 | B6h=17 S6h=10
[2026-05-19 18:37:39] PRICE=0.00070390 | MC=703924 | LIQ=70195 | B1h=17 S1h=10 | B6h=17 S6h=10
[2026-05-19 18:37:44] PRICE=0.00070390 | MC=703924 | LIQ=70195 | B1h=17 S1h=10 | B6h=17 S6h=10
[2026-05-19 18:37:49] PRICE=0.00070390 | MC=703924 | LIQ=70195 | B1h=17 S1h=10 | B6h=17 S6h=10
[2026-05-19 18:37:55] PRICE=0.00070390 | MC=703924 | LIQ=70195 | B1h=17 S1h=10 | B6h=17 S6h=10
[2026-05-19 18:38:00] PRICE=0.00070390 | MC=703924 | LIQ=70195 | B1h=17 S1h=10 | B6h=17 S6h=10
[2026-05-19 18:38:05] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:10] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:16] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:21] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:26] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:31] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:36] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:42] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:47] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:52] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:38:57] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:39:02] PRICE=0.00070390 | MC=703949 | LIQ=70197 | B1h=18 S1h=10 | B6h=18 S6h=10
[2026-05-19 18:39:07] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:13] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:18] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:23] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:28] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:33] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:39] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:44] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:49] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:54] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:39:59] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:40:04] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:40:10] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:40:15] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:40:20] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:40:25] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:40:30] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:40:35] PRICE=0.00070400 | MC=704011 | LIQ=70200 | B1h=19 S1h=10 | B6h=19 S6h=10
[2026-05-19 18:40:41] PRICE=0.00070400 | MC=704017 | LIQ=70200 | B1h=20 S1h=10 | B6h=20 S6h=10
[2026-05-19 18:40:46] PRICE=0.00070400 | MC=704017 | LIQ=70200 | B1h=20 S1h=10 | B6h=20 S6h=10
[2026-05-19 18:40:51] PRICE=0.00070400 | MC=704017 | LIQ=70200 | B1h=20 S1h=10 | B6h=20 S6h=10
[2026-05-19 18:40:57] PRICE=0.00070400 | MC=704017 | LIQ=70200 | B1h=20 S1h=10 | B6h=20 S6h=10
[2026-05-19 18:41:02] PRICE=0.00070400 | MC=704017 | LIQ=70200 | B1h=20 S1h=10 | B6h=20 S6h=10
[2026-05-19 18:41:07] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:12] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:17] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:23] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:28] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:33] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:38] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:44] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:49] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:54] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:41:59] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:04] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:10] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:15] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:20] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:25] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:30] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:35] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:41] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:46] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:51] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:42:56] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:01] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:06] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:12] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:17] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:22] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:27] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:32] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:38] PRICE=0.00070460 | MC=704614 | LIQ=70230 | B1h=21 S1h=11 | B6h=21 S6h=11
[2026-05-19 18:43:43] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:43:48] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:43:53] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
[2026-05-19 18:43:59] PRICE=0.00070420 | MC=704251 | LIQ=70212 | B1h=22 S1h=11 | B6h=22 S6h=11
