[2026-05-19 17:23:36] PRICE=0.00211000 | MC=2110160 | LIQ=116939 | B1h=1053 S1h=867 | B6h=12693 S6h=9438
[2026-05-19 17:23:42] PRICE=0.00211700 | MC=2117321 | LIQ=117159 | B1h=1056 S1h=863 | B6h=12704 S6h=9444
[2026-05-19 17:23:47] PRICE=0.00211700 | MC=2117321 | LIQ=117159 | B1h=1056 S1h=863 | B6h=12704 S6h=9444
[2026-05-19 17:23:52] PRICE=0.00211700 | MC=2117321 | LIQ=117159 | B1h=1056 S1h=863 | B6h=12704 S6h=9444
[2026-05-19 17:23:57] PRICE=0.00211700 | MC=2117321 | LIQ=117159 | B1h=1056 S1h=863 | B6h=12704 S6h=9444
[2026-05-19 17:24:02] PRICE=0.00211700 | MC=2117321 | LIQ=117159 | B1h=1056 S1h=863 | B6h=12704 S6h=9444
[2026-05-19 17:24:07] PRICE=0.00211700 | MC=2117321 | LIQ=117159 | B1h=1056 S1h=863 | B6h=12704 S6h=9444
[2026-05-19 17:24:13] PRICE=0.00222200 | MC=2222845 | LIQ=120038 | B1h=1067 S1h=865 | B6h=12715 S6h=9446
[2026-05-19 17:24:18] PRICE=0.00222200 | MC=2222845 | LIQ=120038 | B1h=1067 S1h=865 | B6h=12715 S6h=9446
[2026-05-19 17:24:23] PRICE=0.00222200 | MC=2222845 | LIQ=120038 | B1h=1067 S1h=865 | B6h=12715 S6h=9446
[2026-05-19 17:24:28] PRICE=0.00222200 | MC=2222845 | LIQ=120038 | B1h=1067 S1h=865 | B6h=12715 S6h=9446
[2026-05-19 17:24:33] PRICE=0.00222200 | MC=2222845 | LIQ=120038 | B1h=1067 S1h=865 | B6h=12715 S6h=9446
[2026-05-19 17:24:38] PRICE=0.00222200 | MC=2222845 | LIQ=120038 | B1h=1067 S1h=865 | B6h=12715 S6h=9446
[2026-05-19 17:24:44] PRICE=0.00228900 | MC=2289668 | LIQ=121818 | B1h=1065 S1h=856 | B6h=12729 S6h=9449
[2026-05-19 17:24:49] PRICE=0.00228900 | MC=2289668 | LIQ=121818 | B1h=1065 S1h=856 | B6h=12729 S6h=9449
[2026-05-19 17:24:54] PRICE=0.00228900 | MC=2289668 | LIQ=121818 | B1h=1065 S1h=856 | B6h=12729 S6h=9449
[2026-05-19 17:24:59] PRICE=0.00228900 | MC=2289668 | LIQ=121818 | B1h=1065 S1h=856 | B6h=12729 S6h=9449
[2026-05-19 17:25:04] PRICE=0.00228900 | MC=2289668 | LIQ=121818 | B1h=1065 S1h=856 | B6h=12729 S6h=9449
[2026-05-19 17:25:10] PRICE=0.00228900 | MC=2289668 | LIQ=121818 | B1h=1065 S1h=856 | B6h=12729 S6h=9449
[2026-05-19 17:25:15] PRICE=0.00242000 | MC=2420564 | LIQ=125228 | B1h=1080 S1h=871 | B6h=12744 S6h=9464
[2026-05-19 17:25:15] PRICE=0.00242000 | MC=2420564 | LIQ=125228 | B1h=1080 S1h=871 | B6h=12744 S6h=9464
[2026-05-19 17:25:20] PRICE=0.00242000 | MC=2420564 | LIQ=125228 | B1h=1080 S1h=871 | B6h=12744 S6h=9464
[2026-05-19 17:25:25] PRICE=0.00242000 | MC=2420564 | LIQ=125228 | B1h=1080 S1h=871 | B6h=12744 S6h=9464
[2026-05-19 17:25:31] PRICE=0.00242000 | MC=2420564 | LIQ=125228 | B1h=1080 S1h=871 | B6h=12744 S6h=9464
[2026-05-19 17:25:36] PRICE=0.00242000 | MC=2420564 | LIQ=125228 | B1h=1080 S1h=871 | B6h=12744 S6h=9464
[2026-05-19 17:25:41] PRICE=0.00242000 | MC=2420564 | LIQ=125228 | B1h=1080 S1h=871 | B6h=12744 S6h=9464
[2026-05-19 17:25:47] PRICE=0.00239200 | MC=2392140 | LIQ=124477 | B1h=1071 S1h=867 | B6h=12750 S6h=9470
[2026-05-19 17:25:52] PRICE=0.00239200 | MC=2392140 | LIQ=124477 | B1h=1071 S1h=867 | B6h=12750 S6h=9470
[2026-05-19 17:25:57] PRICE=0.00239200 | MC=2392140 | LIQ=124477 | B1h=1071 S1h=867 | B6h=12750 S6h=9470
[2026-05-19 17:26:02] PRICE=0.00239200 | MC=2392140 | LIQ=124477 | B1h=1071 S1h=867 | B6h=12750 S6h=9470
[2026-05-19 17:26:07] PRICE=0.00239200 | MC=2392140 | LIQ=124477 | B1h=1071 S1h=867 | B6h=12750 S6h=9470
[2026-05-19 17:26:12] PRICE=0.00239200 | MC=2392140 | LIQ=124477 | B1h=1071 S1h=867 | B6h=12750 S6h=9470
[2026-05-19 17:26:18] PRICE=0.00239200 | MC=2392422 | LIQ=124479 | B1h=1063 S1h=873 | B6h=12754 S6h=9482
[2026-05-19 17:26:23] PRICE=0.00239200 | MC=2392422 | LIQ=124479 | B1h=1063 S1h=873 | B6h=12754 S6h=9482
[2026-05-19 17:26:28] PRICE=0.00239200 | MC=2392422 | LIQ=124479 | B1h=1063 S1h=873 | B6h=12754 S6h=9482
[2026-05-19 17:26:33] PRICE=0.00239200 | MC=2392422 | LIQ=124479 | B1h=1063 S1h=873 | B6h=12754 S6h=9482
[2026-05-19 17:26:38] PRICE=0.00239200 | MC=2392422 | LIQ=124479 | B1h=1063 S1h=873 | B6h=12754 S6h=9482
[2026-05-19 17:26:44] PRICE=0.00239200 | MC=2392422 | LIQ=124479 | B1h=1063 S1h=873 | B6h=12754 S6h=9482
[2026-05-19 17:26:49] PRICE=0.00239500 | MC=2395161 | LIQ=124539 | B1h=1078 S1h=884 | B6h=12769 S6h=9493
[2026-05-19 17:26:54] PRICE=0.00239500 | MC=2395161 | LIQ=124539 | B1h=1078 S1h=884 | B6h=12769 S6h=9493
[2026-05-19 17:26:59] PRICE=0.00239500 | MC=2395161 | LIQ=124539 | B1h=1078 S1h=884 | B6h=12769 S6h=9493
[2026-05-19 17:27:05] PRICE=0.00239500 | MC=2395161 | LIQ=124539 | B1h=1078 S1h=884 | B6h=12769 S6h=9493
[2026-05-19 17:27:10] PRICE=0.00239500 | MC=2395161 | LIQ=124539 | B1h=1078 S1h=884 | B6h=12769 S6h=9493
[2026-05-19 17:27:15] PRICE=0.00239500 | MC=2395161 | LIQ=124539 | B1h=1078 S1h=884 | B6h=12769 S6h=9493
[2026-05-19 17:27:20] PRICE=0.00238500 | MC=2385722 | LIQ=124288 | B1h=1079 S1h=886 | B6h=12784 S6h=9503
[2026-05-19 17:27:26] PRICE=0.00238500 | MC=2385722 | LIQ=124288 | B1h=1079 S1h=886 | B6h=12784 S6h=9503
[2026-05-19 17:27:31] PRICE=0.00238500 | MC=2385722 | LIQ=124288 | B1h=1079 S1h=886 | B6h=12784 S6h=9503
[2026-05-19 17:27:36] PRICE=0.00238500 | MC=2385722 | LIQ=124288 | B1h=1079 S1h=886 | B6h=12784 S6h=9503
[2026-05-19 17:27:41] PRICE=0.00238500 | MC=2385722 | LIQ=124288 | B1h=1079 S1h=886 | B6h=12784 S6h=9503
[2026-05-19 17:27:46] PRICE=0.00238500 | MC=2385722 | LIQ=124288 | B1h=1079 S1h=886 | B6h=12784 S6h=9503
[2026-05-19 17:27:52] PRICE=0.00236700 | MC=2367448 | LIQ=123818 | B1h=1088 S1h=907 | B6h=12793 S6h=9524
[2026-05-19 17:27:57] PRICE=0.00236700 | MC=2367448 | LIQ=123818 | B1h=1088 S1h=907 | B6h=12793 S6h=9524
[2026-05-19 17:28:02] PRICE=0.00236700 | MC=2367448 | LIQ=123818 | B1h=1088 S1h=907 | B6h=12793 S6h=9524
[2026-05-19 17:28:07] PRICE=0.00236700 | MC=2367448 | LIQ=123818 | B1h=1088 S1h=907 | B6h=12793 S6h=9524
